Done Machine
CrossOver 0.25
Beta 0.0
popSize 80
Output: -0.09050649841471042 | Original: -0.5897454533211701
Output: -0.6450365549772819 | Original: -0.5585822252305238
Output: -1.2647206892338356 | Original: -0.5336516427580067
Output: -0.03904318735147427 | Original: -0.5211863515217481
Output: -0.9956334741829953 | Original: -0.496255769049231
Output: -0.28114530836298335 | Original: -0.4713251865767139
Output: 0.14153156454555932 | Original: -0.4526272497223261
Output: -1.122275369313022 | Original: -0.4214640216316797
Output: 0.18356526606268633 | Original: -0.3965334391591626
Output: -0.28559694509887296 | Original: -0.3466722742141284
Output: -0.3568467298908446 | Original: -0.3092764005053527
Output: -0.16282550184888844 | Original: -0.25941523556031854
Output: -0.7292234217192709 | Original: -0.2157867162334136
Output: -0.689748112993046 | Original: -0.08490115825269881
Output: 0.6585969745938679 | Original: 0.0896129190549209
Output: 0.7433327209087927 | Original: 0.23296376827189424
Output: 1.426257248728284 | Original: 0.6630163159228143
Output: 2.5930932078866586 | Original: 1.2551176496450953
Output: 3.4967781597477448 | Original: 2.5203447101253382
Overall Mean-Squared Error for Fold 5: 0.37078930596160714

