Done Abalone
CrossOver 0.25
Beta 0.0
popSize 80
Output: -1.3345246048787676 | Original: -2.1507912663368667
Output: -1.18276454985521 | Original: -2.1507912663368667
Output: -1.1317711336435652 | Original: -1.8405966969186949
Output: -1.222641381164562 | Original: -1.8405966969186949
Output: -1.2166700990400812 | Original: -1.8405966969186949
Output: -1.1476932084253737 | Original: -1.8405966969186949
Output: -1.0767806050123032 | Original: -1.8405966969186949
Output: -0.98195938221196 | Original: -1.530402127500523
Output: -1.2125200954045128 | Original: -1.530402127500523
Output: -0.7800488445675314 | Original: -1.530402127500523
Output: -0.8963581179858368 | Original: -1.530402127500523
Output: -0.34021665344143526 | Original: -1.530402127500523
Output: -0.9105250267202133 | Original: -1.530402127500523
Output: -1.073364468518859 | Original: -1.530402127500523
Output: -0.672269288568241 | Original: -1.530402127500523
Output: -0.853052408959781 | Original: -1.530402127500523
Output: -1.0364124255453384 | Original: -1.530402127500523
Output: -0.6933051580861193 | Original: -1.2202075580823513
Output: -1.051486593555627 | Original: -1.2202075580823513
Output: -1.1131906996069896 | Original: -1.2202075580823513
Output: 0.768833079584867 | Original: -1.2202075580823513
Output: -0.47676736702046607 | Original: -1.2202075580823513
Output: -0.0066612567141690615 | Original: -1.2202075580823513
Output: -0.4549872045747958 | Original: -1.2202075580823513
Output: -0.35779939434039365 | Original: -1.2202075580823513
Output: -0.5736092156714033 | Original: -1.2202075580823513
Output: -0.06303124249688519 | Original: -1.2202075580823513
Output: -0.741461108808413 | Original: -1.2202075580823513
Output: -0.864094932924563 | Original: -1.2202075580823513
Output: -0.8032984847461392 | Original: -1.2202075580823513
Output: -1.0378706753397795 | Original: -1.2202075580823513
Output: -0.3899477945572767 | Original: -1.2202075580823513
Output: 0.41205996834507075 | Original: -1.2202075580823513
Output: -0.7865848215493682 | Original: -1.2202075580823513
Output: -0.18100578398966694 | Original: -1.2202075580823513
Output: -0.4032938542122019 | Original: -1.2202075580823513
Output: -0.32223237383093495 | Original: -1.2202075580823513
Output: -0.6068155260796931 | Original: -1.2202075580823513
Output: -1.085972754125895 | Original: -1.2202075580823513
Output: 0.43046411596829387 | Original: -1.2202075580823513
Output: -0.9409774303376034 | Original: -1.2202075580823513
Output: -0.38967853968727173 | Original: -0.9100129886641795
Output: 0.27778323120799675 | Original: -0.9100129886641795
Output: -0.5908042712893293 | Original: -0.9100129886641795
Output: -1.129940306544047 | Original: -0.9100129886641795
Output: -0.7865564105414417 | Original: -0.9100129886641795
Output: -0.5015265978337403 | Original: -0.9100129886641795
Output: -0.377673930852198 | Original: -0.9100129886641795
Output: -0.11967181270284288 | Original: -0.9100129886641795
Output: 0.5371081065753132 | Original: -0.9100129886641795
Output: -0.3301591365088755 | Original: -0.9100129886641795
Output: 0.2715360032614534 | Original: -0.9100129886641795
Output: -0.5011867443556948 | Original: -0.9100129886641795
Output: -0.5699147529427632 | Original: -0.9100129886641795
Output: -0.6934923884783243 | Original: -0.9100129886641795
Output: -0.39627118365872827 | Original: -0.9100129886641795
Output: 1.0095556685914127 | Original: -0.9100129886641795
Output: -0.4101765654822471 | Original: -0.9100129886641795
Output: -0.7768940788513935 | Original: -0.9100129886641795
Output: -0.22922124733052873 | Original: -0.9100129886641795
Output: -0.47118174976100613 | Original: -0.9100129886641795
Output: -0.20136806548788488 | Original: -0.9100129886641795
Output: 0.016612970950129702 | Original: -0.9100129886641795
Output: -0.0670356251549995 | Original: -0.9100129886641795
Output: -0.3040272509336994 | Original: -0.9100129886641795
Output: -0.7287022714824031 | Original: -0.9100129886641795
Output: 0.18853436046210081 | Original: -0.9100129886641795
Output: -0.6517990774222383 | Original: -0.9100129886641795
Output: -0.6577151672673412 | Original: -0.9100129886641795
Output: -0.25894140183656456 | Original: -0.9100129886641795
Output: -0.15893707143974334 | Original: -0.9100129886641795
Output: 0.015960393406240836 | Original: -0.9100129886641795
Output: -0.9405166948034317 | Original: -0.9100129886641795
Output: -0.42367024016892807 | Original: -0.9100129886641795
Output: -0.36975541159479086 | Original: -0.9100129886641795
Output: -0.5084808472669583 | Original: -0.9100129886641795
Output: -0.16996820271351598 | Original: -0.5998184192460075
Output: -0.587417784920473 | Original: -0.5998184192460075
Output: -0.7638555954654668 | Original: -0.5998184192460075
Output: -0.17646397890732252 | Original: -0.5998184192460075
Output: -0.9664669521762653 | Original: -0.5998184192460075
Output: 0.8966959545608872 | Original: -0.5998184192460075
Output: 0.15262462447800768 | Original: -0.5998184192460075
Output: 0.43671155227643277 | Original: -0.5998184192460075
Output: 1.330997446110572 | Original: -0.5998184192460075
Output: 0.031661942289115785 | Original: -0.5998184192460075
Output: 0.3595532041415132 | Original: -0.5998184192460075
Output: 0.7805240526108945 | Original: -0.5998184192460075
Output: -0.30369996228429874 | Original: -0.5998184192460075
Output: -0.2094434403035389 | Original: -0.5998184192460075
Output: 0.44211210464277806 | Original: -0.5998184192460075
Output: 0.2057795478427025 | Original: -0.5998184192460075
Output: 1.1224946511010123 | Original: -0.5998184192460075
Output: 0.05572661441872939 | Original: -0.5998184192460075
Output: 0.02947012265508364 | Original: -0.5998184192460075
Output: 0.5160267423161197 | Original: -0.5998184192460075
Output: -0.14346724528223914 | Original: -0.5998184192460075
Output: 0.7377019087752086 | Original: -0.5998184192460075
Output: 0.19389851936358396 | Original: -0.5998184192460075
Output: -0.33233246203983313 | Original: -0.5998184192460075
Output: -0.0709750611269308 | Original: -0.5998184192460075
Output: 0.08667409211113364 | Original: -0.5998184192460075
Output: -0.27312381223699533 | Original: -0.5998184192460075
Output: 0.8202213636452333 | Original: -0.5998184192460075
Output: -0.09156379725071873 | Original: -0.5998184192460075
Output: 0.4703650496730766 | Original: -0.5998184192460075
Output: -0.04696900196098536 | Original: -0.5998184192460075
Output: 0.4978697608028877 | Original: -0.5998184192460075
Output: -0.3552768863021575 | Original: -0.5998184192460075
Output: 0.5367493994381971 | Original: -0.5998184192460075
Output: 0.9116883995484868 | Original: -0.5998184192460075
Output: 0.01795518094713977 | Original: -0.5998184192460075
Output: 1.105058693315023 | Original: -0.5998184192460075
Output: -0.397325763271681 | Original: -0.5998184192460075
Output: -0.5046641009299359 | Original: -0.5998184192460075
Output: -0.9976328875908748 | Original: -0.5998184192460075
Output: -0.2115404771506567 | Original: -0.5998184192460075
Output: 0.003027336394207214 | Original: -0.5998184192460075
Output: -0.004653184216153794 | Original: -0.5998184192460075
Output: -0.17157828305359346 | Original: -0.5998184192460075
Output: 0.5690286350065465 | Original: -0.5998184192460075
Output: -0.29237398088277033 | Original: -0.5998184192460075
Output: -0.029481409199843045 | Original: -0.5998184192460075
Output: -0.06371453913139252 | Original: -0.5998184192460075
Output: 0.009449806199202215 | Original: -0.5998184192460075
Output: -0.039943390036620396 | Original: -0.5998184192460075
Output: 0.20231585027484697 | Original: -0.5998184192460075
Output: -0.1413256557660445 | Original: -0.5998184192460075
Output: -0.29068357210914986 | Original: -0.28962384982783573
Output: -0.19298471972433384 | Original: -0.28962384982783573
Output: 0.6834298158649064 | Original: -0.28962384982783573
Output: -0.18711629474782376 | Original: -0.28962384982783573
Output: -0.5222352807822548 | Original: -0.28962384982783573
Output: -0.5433434990359642 | Original: -0.28962384982783573
Output: -0.4955521809801051 | Original: -0.28962384982783573
Output: -0.24678988976969307 | Original: -0.28962384982783573
Output: 0.804820735866387 | Original: -0.28962384982783573
Output: 0.3692378978518099 | Original: -0.28962384982783573
Output: 1.1468562678785679 | Original: -0.28962384982783573
Output: 0.31266043811829913 | Original: -0.28962384982783573
Output: 0.41210734561616646 | Original: -0.28962384982783573
Output: 0.7288143902302784 | Original: -0.28962384982783573
Output: -0.5794325036320186 | Original: -0.28962384982783573
Output: 0.1038333257471602 | Original: -0.28962384982783573
Output: 0.1490155492279003 | Original: -0.28962384982783573
Output: 0.7308984158364675 | Original: -0.28962384982783573
Output: 1.0386289045221693 | Original: -0.28962384982783573
Output: 0.4062521882130926 | Original: -0.28962384982783573
Output: 0.7738332259908317 | Original: -0.28962384982783573
Output: 0.08388807013196276 | Original: -0.28962384982783573
Output: 0.3581549514630731 | Original: -0.28962384982783573
Output: 0.5288215618445737 | Original: -0.28962384982783573
Output: 0.9841397939792905 | Original: -0.28962384982783573
Output: 0.2947099941711644 | Original: -0.28962384982783573
Output: 1.936706254746996 | Original: -0.28962384982783573
Output: 0.5195327024717569 | Original: -0.28962384982783573
Output: 0.37428713523126117 | Original: -0.28962384982783573
Output: 1.0763045516726315 | Original: -0.28962384982783573
Output: 0.40013258351068653 | Original: -0.28962384982783573
Output: 0.5447205180661132 | Original: -0.28962384982783573
Output: -0.2684506722570499 | Original: -0.28962384982783573
Output: -0.0536167362669801 | Original: -0.28962384982783573
Output: -0.03269677459813647 | Original: -0.28962384982783573
Output: -0.7384194870451978 | Original: -0.28962384982783573
Output: 0.2889551302317108 | Original: -0.28962384982783573
Output: 1.4637071507640158 | Original: -0.28962384982783573
Output: 0.7795132517275182 | Original: -0.28962384982783573
Output: 1.1279791109283763 | Original: -0.28962384982783573
Output: 0.5355015593324295 | Original: -0.28962384982783573
Output: 2.2701022044138166 | Original: -0.28962384982783573
Output: 0.9413916723803597 | Original: -0.28962384982783573
Output: 0.4539987202483118 | Original: -0.28962384982783573
Output: 1.246946926518465 | Original: -0.28962384982783573
Output: -0.3034803674839609 | Original: -0.28962384982783573
Output: 0.8985499804301649 | Original: -0.28962384982783573
Output: -0.07346348532853364 | Original: -0.28962384982783573
Output: -0.7042851293826223 | Original: -0.28962384982783573
Output: -0.4713691260141275 | Original: -0.28962384982783573
Output: 0.9164449966928848 | Original: -0.28962384982783573
Output: -0.12922199900291592 | Original: -0.28962384982783573
Output: 0.623158241059808 | Original: -0.28962384982783573
Output: 0.6238179483121182 | Original: -0.28962384982783573
Output: 0.25634703084128485 | Original: -0.28962384982783573
Output: -0.16409569758428288 | Original: -0.28962384982783573
