Done Machine
CrossOver 0.75
mutation 0.25
variance 0.1
k 16
popSize 84
Output: 0.08299053989615696 | Original: -0.6146760357936872
Output: -0.12956178471899288 | Original: -0.5710475164667823
Output: 0.48577085669814424 | Original: -0.5461169339942652
Output: -0.5174777748227215 | Original: -0.5211863515217481
Output: -0.3865966401051375 | Original: -0.5024884146673603
Output: -0.7859549271990455 | Original: -0.4713251865767139
Output: -0.4844664617483653 | Original: -0.45885989534045535
Output: -0.5968223759052145 | Original: -0.43392931286793823
Output: -0.45131480194319296 | Original: -0.4089987303954212
Output: -0.03617983624574743 | Original: -0.3716028566866455
Output: -0.20171710760074574 | Original: -0.3342069829778698
Output: -0.5485970313289981 | Original: -0.2718805267965771
Output: -0.08171558701459404 | Original: -0.2220193618515429
Output: -0.07997616649603656 | Original: -0.15969290567025013
Output: 0.1541973657509513 | Original: 0.045984399728015976
Output: -0.32049563989056845 | Original: 0.20180054018124785
Output: 0.9143476174297791 | Original: 0.5757592772690044
Output: -0.033499195809433405 | Original: 1.0494403442468292
Output: 1.7786140091896374 | Original: 2.239875657309521
Overall Mean-Squared Error for Fold 2: 0.2055367162176601

