Done Abalone
CrossOver 0.75
mutation 0.25
variance 0.1
k 44
popSize 80
Output: 0.007230772746483177 | Original: -2.1507912663368667
Output: 0.008692865317416408 | Original: -1.8405966969186949
Output: 0.005615467560954942 | Original: -1.8405966969186949
Output: 0.010767985586112236 | Original: -1.8405966969186949
Output: 0.0076535919758395216 | Original: -1.8405966969186949
Output: 0.011395076780200698 | Original: -1.8405966969186949
Output: 0.008545578055996551 | Original: -1.530402127500523
Output: 0.009330749518505432 | Original: -1.530402127500523
Output: 0.009578561066695062 | Original: -1.530402127500523
Output: 0.03767096943340117 | Original: -1.530402127500523
Output: 0.07252286596552679 | Original: -1.530402127500523
Output: 0.025966337867134728 | Original: -1.530402127500523
Output: 0.006669027589953884 | Original: -1.530402127500523
Output: 0.021205382138088966 | Original: -1.530402127500523
Output: 0.019620986989268403 | Original: -1.530402127500523
Output: 0.00651298719296364 | Original: -1.530402127500523
Output: 0.013670769160414768 | Original: -1.530402127500523
Output: 0.018577339605395274 | Original: -1.2202075580823513
Output: 0.0403555998387618 | Original: -1.2202075580823513
Output: 0.07395990130528832 | Original: -1.2202075580823513
Output: 0.025854609614409198 | Original: -1.2202075580823513
Output: 0.16852250529673704 | Original: -1.2202075580823513
Output: 0.022980409953086953 | Original: -1.2202075580823513
Output: 0.16070497990458343 | Original: -1.2202075580823513
Output: 0.03803289260039601 | Original: -1.2202075580823513
Output: 0.1512316670548768 | Original: -1.2202075580823513
Output: 0.05123469200496265 | Original: -1.2202075580823513
Output: 0.08749026117326406 | Original: -1.2202075580823513
Output: 0.01847142027392547 | Original: -1.2202075580823513
Output: 0.01692070188883645 | Original: -1.2202075580823513
Output: 0.011526714306953175 | Original: -1.2202075580823513
Output: 0.06666794035351464 | Original: -1.2202075580823513
Output: 0.13256145384158918 | Original: -1.2202075580823513
Output: 0.04425005642057879 | Original: -1.2202075580823513
Output: 0.07243692213077171 | Original: -1.2202075580823513
Output: 0.057651355691071805 | Original: -1.2202075580823513
Output: 0.035889107566447295 | Original: -1.2202075580823513
Output: 0.07529338479935954 | Original: -1.2202075580823513
Output: 0.07139031395546273 | Original: -1.2202075580823513
Output: 0.3918470335404765 | Original: -1.2202075580823513
Output: 0.03420093319598616 | Original: -0.9100129886641795
Output: 0.050464185942105014 | Original: -0.9100129886641795
Output: 0.10563555214949596 | Original: -0.9100129886641795
Output: 0.17715928780445386 | Original: -0.9100129886641795
Output: 0.024691466393002934 | Original: -0.9100129886641795
Output: 0.030228851335898914 | Original: -0.9100129886641795
Output: 0.031496889668426425 | Original: -0.9100129886641795
Output: 0.20725222052102976 | Original: -0.9100129886641795
Output: 0.6217405737486923 | Original: -0.9100129886641795
Output: 0.0825268716680236 | Original: -0.9100129886641795
Output: 0.3317591840331226 | Original: -0.9100129886641795
Output: 0.042548262561071644 | Original: -0.9100129886641795
Output: 0.13470736210232784 | Original: -0.9100129886641795
Output: 0.25832278279601345 | Original: -0.9100129886641795
Output: 0.06284775085330573 | Original: -0.9100129886641795
Output: 0.5157366690143148 | Original: -0.9100129886641795
Output: 0.3806028463571973 | Original: -0.9100129886641795
Output: 0.5880832966443178 | Original: -0.9100129886641795
Output: 0.10970645910186325 | Original: -0.9100129886641795
Output: 0.07507543744768903 | Original: -0.9100129886641795
Output: 0.1673859568145216 | Original: -0.9100129886641795
Output: 0.026413795815756026 | Original: -0.9100129886641795
Output: 0.10671074004260436 | Original: -0.9100129886641795
Output: 1.4211281753261862 | Original: -0.9100129886641795
Output: 0.3861765083186287 | Original: -0.9100129886641795
Output: 0.08047920720716269 | Original: -0.9100129886641795
Output: 0.21069154179001492 | Original: -0.9100129886641795
Output: 0.0744028635328795 | Original: -0.9100129886641795
Output: 1.380677930711148 | Original: -0.9100129886641795
Output: 0.07629008777031919 | Original: -0.9100129886641795
Output: 0.9007520566782976 | Original: -0.9100129886641795
Output: 0.17115134063096538 | Original: -0.9100129886641795
Output: 0.11370175549173578 | Original: -0.9100129886641795
Output: 0.1688736146382699 | Original: -0.9100129886641795
Output: 0.03678494929274433 | Original: -0.9100129886641795
Output: 0.028004596684847095 | Original: -0.9100129886641795
Output: 0.5087791736203046 | Original: -0.5998184192460075
Output: 0.05545818134739648 | Original: -0.5998184192460075
Output: 0.05007593611925057 | Original: -0.5998184192460075
Output: 0.014024863489210997 | Original: -0.5998184192460075
Output: 0.3703403221663136 | Original: -0.5998184192460075
Output: 0.4873113474839124 | Original: -0.5998184192460075
Output: 1.1988001268886024 | Original: -0.5998184192460075
Output: 1.6258981556238927 | Original: -0.5998184192460075
Output: 0.5087559321445223 | Original: -0.5998184192460075
Output: 1.3200381665950773 | Original: -0.5998184192460075
Output: 1.673618134643515 | Original: -0.5998184192460075
Output: 0.044935458723695934 | Original: -0.5998184192460075
Output: 0.5050226082133102 | Original: -0.5998184192460075
Output: 0.9599075797156235 | Original: -0.5998184192460075
Output: 0.5319661608734618 | Original: -0.5998184192460075
Output: 1.51420244507846 | Original: -0.5998184192460075
Output: 0.08183763993653477 | Original: -0.5998184192460075
Output: 0.631090844179748 | Original: -0.5998184192460075
Output: 0.833700913321971 | Original: -0.5998184192460075
Output: 1.4296170940252004 | Original: -0.5998184192460075
Output: 1.384003316937555 | Original: -0.5998184192460075
Output: 0.1422393238431567 | Original: -0.5998184192460075
Output: 0.6790385107156152 | Original: -0.5998184192460075
Output: 0.06883024395935533 | Original: -0.5998184192460075
Output: 0.9884002614273907 | Original: -0.5998184192460075
Output: 0.1810139651695095 | Original: -0.5998184192460075
Output: 0.40629706407372734 | Original: -0.5998184192460075
Output: 0.06669808752876392 | Original: -0.5998184192460075
Output: 0.23881891968889554 | Original: -0.5998184192460075
Output: 1.7309002440818457 | Original: -0.5998184192460075
Output: 0.8011392474680645 | Original: -0.5998184192460075
Output: 0.05465639575771577 | Original: -0.5998184192460075
Output: 0.40038749177435695 | Original: -0.5998184192460075
Output: 0.4625256613420345 | Original: -0.5998184192460075
Output: 0.301153900787895 | Original: -0.5998184192460075
Output: 1.353755900780462 | Original: -0.5998184192460075
Output: 1.1058998068900756 | Original: -0.5998184192460075
Output: 0.34743726301877614 | Original: -0.5998184192460075
Output: 0.11505902435476112 | Original: -0.5998184192460075
Output: 0.36586129347095164 | Original: -0.5998184192460075
Output: 1.6724334427735168 | Original: -0.5998184192460075
Output: 1.6733930322716288 | Original: -0.5998184192460075
Output: 1.041921503748276 | Original: -0.5998184192460075
Output: 0.4371031145138346 | Original: -0.5998184192460075
Output: 0.6985197659500714 | Original: -0.5998184192460075
Output: 1.490398941235149 | Original: -0.5998184192460075
Output: 0.3680686525662264 | Original: -0.5998184192460075
Output: 0.22184552276042277 | Original: -0.5998184192460075
Output: 1.7190450849714471 | Original: -0.5998184192460075
Output: 0.17071230309580995 | Original: -0.5998184192460075
Output: 1.3035269428483949 | Original: -0.5998184192460075
Output: 1.3276240571247837 | Original: -0.5998184192460075
Output: 1.5074964846913244 | Original: -0.28962384982783573
Output: 0.1907143520432472 | Original: -0.28962384982783573
Output: 0.22956906104842828 | Original: -0.28962384982783573
Output: 1.6018547527145417 | Original: -0.28962384982783573
Output: 0.20992008628837233 | Original: -0.28962384982783573
Output: 0.3148490787998712 | Original: -0.28962384982783573
Output: 0.04550912422765766 | Original: -0.28962384982783573
Output: 0.5485008672458432 | Original: -0.28962384982783573
Output: 1.7848559869783442 | Original: -0.28962384982783573
Output: 1.7220930442162459 | Original: -0.28962384982783573
Output: 0.5127339194419014 | Original: -0.28962384982783573
Output: 1.3174857778572964 | Original: -0.28962384982783573
