Done Machine
CrossOver 0.75
mutation 0.25
variance 0.1
k 16
popSize 84
Output: 0.4921128399040516 | Original: -0.5959780989392994
Output: 0.5173482585442166 | Original: -0.5585822252305238
Output: 0.4978743465851318 | Original: -0.5398842883761359
Output: 0.5467115044466633 | Original: -0.5211863515217481
Output: 0.4985842913308329 | Original: -0.496255769049231
Output: 0.5293447622031926 | Original: -0.4713251865767139
Output: 0.4943631468265688 | Original: -0.4526272497223261
Output: 0.5543515122732161 | Original: -0.427696667249809
Output: 0.5646952013167849 | Original: -0.40276608477729187
Output: 0.5136073123411906 | Original: -0.3529049198322577
Output: 0.5513918429669371 | Original: -0.32174169174161127
Output: 0.5410942280383686 | Original: -0.2656478811784478
Output: 0.4956161920108648 | Original: -0.2157867162334136
Output: 0.5520570289389696 | Original: -0.12229703196147447
Output: 0.5749249672185063 | Original: 0.0646823365824038
Output: 0.5655040287492396 | Original: 0.2204984770356357
Output: 0.5771291245757841 | Original: 0.6380857334502972
Output: 0.5761532177783131 | Original: 1.068138281101217
Output: 0.5765668550635471 | Original: 2.3894591521446236
Overall Mean-Squared Error for Fold 4: 0.8623031996308602

