Done Forest Fires
CrossOver 0.75
Beta 0.0
popSize 80
Output: 3.1421500407459755 | Original: -0.20201978829184197
Output: 3.314544658332054 | Original: -0.20201978829184197
Output: 3.4235914003731045 | Original: -0.20201978829184197
Output: 3.2314522068745726 | Original: -0.20201978829184197
Output: 3.4358537859752825 | Original: -0.20201978829184197
Output: 3.3638676971605723 | Original: -0.20201978829184197
Output: 3.333722525852537 | Original: -0.20201978829184197
Output: 3.166215704037208 | Original: -0.20201978829184197
Output: 2.8202270846685904 | Original: -0.20201978829184197
Output: 3.4208772179402964 | Original: -0.20201978829184197
Output: 2.4472755346900255 | Original: -0.20201978829184197
Output: 3.434712304792244 | Original: -0.20201978829184197
Output: 3.4338890744714297 | Original: -0.20201978829184197
Output: 3.4091529703825736 | Original: -0.20201978829184197
Output: 3.3214891250030303 | Original: -0.20201978829184197
Output: 3.010397074415659 | Original: -0.20201978829184197
Output: 3.343922046410358 | Original: -0.20201978829184197
Output: 3.4337321402387513 | Original: -0.20201978829184197
Output: 3.4413227665045527 | Original: -0.20201978829184197
Output: 3.4261056032442836 | Original: -0.20201978829184197
Output: 3.449828154580515 | Original: -0.20201978829184197
Output: 3.4548783472046987 | Original: -0.20201978829184197
Output: 3.2753926061387837 | Original: -0.20201978829184197
Output: 3.1004757078531133 | Original: -0.19525816813915425
Output: 3.3570897460091236 | Original: -0.19069800571059742
Output: 3.4294456470392083 | Original: -0.1848798674396801
Output: 3.3888932725509706 | Original: -0.17906172916876276
Output: 3.441143045909224 | Original: -0.17544504862197632
Output: 3.4428041650022165 | Original: -0.17057039223282935
Output: 3.337182376377454 | Original: -0.16601022980427255
Output: 3.449263912055688 | Original: -0.15877686871069963
Output: 3.4560742728285696 | Original: -0.14981379083388105
Output: 3.4058108721616063 | Original: -0.14006447805558714
Output: 3.389487368844954 | Original: -0.12418253304578578
Output: 3.0698737116022343 | Original: -0.11034479877982023
Output: 3.436298747398558 | Original: -0.09918026317887076
Output: 3.1603798256273756 | Original: -0.08722949267644597
Output: 2.910101400897386 | Original: -0.07244827652871004
Output: 2.847292552794369 | Original: -0.04838948854356541
Output: 3.2660785654486277 | Original: -0.028104628085502265
Output: 2.490512128052776 | Original: 0.003187520993215276
Output: 3.4448258592656527 | Original: 0.05476453052999591
Output: 3.443574568064331 | Original: 0.18465053625371797
Output: 3.4414531399256623 | Original: 0.2725515982386582
Output: 3.4461753376996924 | Original: 0.416747079169231
Output: 3.438666219896063 | Original: 0.7147301068283753
Output: 3.3001995869914134 | Original: 1.459451805505794
Overall Mean-Squared Error for Fold 1: 11.468511376582587

