Done Machine
CrossOver 0.25
Beta 0.0
popSize 80
Output: 0.18977003125177738 | Original: -0.6146760357936872
Output: -0.19012896785265054 | Original: -0.5710475164667823
Output: 0.5761260563910398 | Original: -0.5461169339942652
Output: -0.431808599359305 | Original: -0.5211863515217481
Output: -0.47037373929897863 | Original: -0.5024884146673603
Output: -0.5538079551939517 | Original: -0.4713251865767139
Output: -0.45748190851673537 | Original: -0.45885989534045535
Output: -0.33615535300925437 | Original: -0.43392931286793823
Output: -0.3353459361823375 | Original: -0.4089987303954212
Output: -0.31181183359189296 | Original: -0.3716028566866455
Output: -0.3140171447711999 | Original: -0.3342069829778698
Output: -0.46671204388164444 | Original: -0.2718805267965771
Output: -0.37539588703174426 | Original: -0.2220193618515429
Output: -0.3745641822365705 | Original: -0.15969290567025013
Output: 0.2032707696575622 | Original: 0.045984399728015976
Output: -0.6056404727347287 | Original: 0.20180054018124785
Output: 2.215147983021884 | Original: 0.5757592772690044
Output: 0.697067740187565 | Original: 1.0494403442468292
Output: 1.994988435034585 | Original: 2.239875657309521
Overall Mean-Squared Error for Fold 2: 0.30223888057812687

