Done Forest Fires
CrossOver 0.75
mutation 0.25
variance 0.1
k 32
popSize 88
Output: 1.2777969830626787 | Original: -0.20201978829184197
Output: 1.3294129742883394 | Original: -0.20201978829184197
Output: 1.3235162191824155 | Original: -0.20201978829184197
Output: 1.3045347900245423 | Original: -0.20201978829184197
Output: 0.9143381267699164 | Original: -0.20201978829184197
Output: 0.9180128267169192 | Original: -0.20201978829184197
Output: 1.2697629288283216 | Original: -0.20201978829184197
Output: 1.1823159994375998 | Original: -0.20201978829184197
Output: 1.3285619779360576 | Original: -0.20201978829184197
Output: 1.3140379493165615 | Original: -0.20201978829184197
Output: 0.9838997042938751 | Original: -0.20201978829184197
Output: 1.3115320935952697 | Original: -0.20201978829184197
Output: 1.3196415361260116 | Original: -0.20201978829184197
Output: 0.9972131615880847 | Original: -0.20201978829184197
Output: 1.124537532161981 | Original: -0.20201978829184197
Output: 1.3105574136007472 | Original: -0.20201978829184197
Output: 1.3102483908997127 | Original: -0.20201978829184197
Output: 0.9078917759583741 | Original: -0.20201978829184197
Output: 1.242262999156159 | Original: -0.20201978829184197
Output: 1.316877477212449 | Original: -0.20201978829184197
Output: 1.3183953249924034 | Original: -0.20201978829184197
Output: 1.3246998085080945 | Original: -0.20201978829184197
Output: 0.9201057451253706 | Original: -0.20201978829184197
Output: 1.2621287899723117 | Original: -0.1938429453164987
Output: 1.3153567562233242 | Original: -0.1899117708091221
Output: 1.3017298322273705 | Original: -0.18330739763672946
Output: 1.3212085784955903 | Original: -0.1774892593658121
Output: 1.313492583166643 | Original: -0.17450156674020592
Output: 1.3113117128005098 | Original: -0.1694696633707639
Output: 1.255489646751321 | Original: -0.1631797841589614
Output: 1.148541458682789 | Original: -0.1559464230653885
Output: 1.223412493713997 | Original: -0.1469833451885699
Output: 1.2941332982152831 | Original: -0.13283111696201425
Output: 1.3197197033414254 | Original: -0.11977961759752401
Output: 1.0794212587076795 | Original: -0.1070426121936239
Output: 1.003107609003186 | Original: -0.09807953431680531
Output: 0.9878154309589167 | Original: -0.08565702287349533
Output: 1.2984280343303334 | Original: -0.06552940939572728
Output: 1.264639599738993 | Original: -0.044615561016483896
Output: 1.2751739102685564 | Original: -0.02606041734166646
Output: 1.2513990064215073 | Original: 0.01796873714095119
Output: 1.0036492141739426 | Original: 0.07866607153484553
Output: 1.3266265020443964 | Original: 0.20886657121915767
Output: 0.9427396689877793 | Original: 0.29896909092822876
Output: 1.316569260007813 | Original: 0.479174130346371
Output: 1.285940583043746 | Original: 0.903740977143041
Output: 1.328962034843003 | Original: 2.7190001176692484
Overall Mean-Squared Error for Fold 4: 1.7973161705669722

