Done Forest Fires
CrossOver 0.75
Beta 0.0
popSize 80
Output: -0.4380500068117502 | Original: -0.20201978829184197
Output: 2.363434562956742 | Original: -0.20201978829184197
Output: 5.472186707730093 | Original: -0.20201978829184197
Output: 0.39181855686773226 | Original: -0.20201978829184197
Output: 0.1786798190021296 | Original: -0.20201978829184197
Output: 0.588881397327089 | Original: -0.20201978829184197
Output: 1.3675963302198593 | Original: -0.20201978829184197
Output: -3.0604834849985147 | Original: -0.20201978829184197
Output: 1.0104755760996758 | Original: -0.20201978829184197
Output: 1.5993046180248423 | Original: -0.20201978829184197
Output: -0.9156148365512877 | Original: -0.20201978829184197
Output: 0.8259063528625066 | Original: -0.20201978829184197
Output: -0.5634442061575196 | Original: -0.20201978829184197
Output: 0.2632586014202222 | Original: -0.20201978829184197
Output: 0.12926305473084393 | Original: -0.20201978829184197
Output: 1.2156870295715259 | Original: -0.20201978829184197
Output: -1.854797224161534 | Original: -0.20201978829184197
Output: -1.5167956827418088 | Original: -0.20201978829184197
Output: 2.7162774626862145 | Original: -0.20201978829184197
Output: 0.3742212174831387 | Original: -0.20201978829184197
Output: 0.28574491665355567 | Original: -0.20201978829184197
Output: 2.061966224512153 | Original: -0.20201978829184197
Output: 0.985581073313764 | Original: -0.20201978829184197
Output: 1.2859368735974117 | Original: -0.1955726620997444
Output: 0.2214462708062544 | Original: -0.19085525269089249
Output: 2.0957099064336377 | Original: -0.1851943614002702
Output: 2.1280421083638252 | Original: -0.17906172916876276
Output: 0.07634532843655245 | Original: -0.17623128352345163
Output: 3.069359963892751 | Original: -0.1713566271343047
Output: 1.8691898168481949 | Original: -0.16726820564663303
Output: 1.9885403942670588 | Original: -0.1589341156909947
Output: 1.7233189839538903 | Original: -0.15012828479447116
Output: -0.8679607854597091 | Original: -0.1402217250358822
Output: -0.9429744815336598 | Original: -0.12528326190785122
Output: 0.016041993814088495 | Original: -0.11081653972070542
Output: -0.19992814328368425 | Original: -0.10075273298182137
Output: -0.07996650206462896 | Original: -0.08864471549910154
Output: 2.2382521190864564 | Original: -0.07370625237107055
Output: 1.0550816016917364 | Original: -0.04933297042533576
Output: -1.7746734137796698 | Original: -0.0301488388293381
Output: 1.1966787168424622 | Original: -0.003259605198882309
Output: -0.14923869527633282 | Original: 0.04957538018025885
Output: -0.23120179317070233 | Original: 0.17914689194339076
Output: -0.6977095783793725 | Original: 0.2615443096180038
Output: -0.8574054892815055 | Original: 0.4030665918835604
Output: -0.3042302712497328 | Original: 0.6791922892816911
Output: -0.30954871507153026 | Original: 1.4237567409788146
Overall Mean-Squared Error for Fold 0: 2.8533449276762424

