Done Machine
CrossOver 0.75
mutation 0.25
variance 0.1
k 16
popSize 84
Output: -0.4704780748645252 | Original: -0.5897454533211701
Output: -0.5131318866557031 | Original: -0.5585822252305238
Output: -0.4080386513632557 | Original: -0.5336516427580067
Output: -0.44258472273204563 | Original: -0.5087210602854896
Output: -0.6321755909899517 | Original: -0.4900231234311017
Output: 0.05412426788224468 | Original: -0.45885989534045535
Output: -0.09052102573880574 | Original: -0.4463946041041968
Output: 0.5227600705068698 | Original: -0.4214640216316797
Output: -0.3479188442052805 | Original: -0.38406814792290406
Output: -0.26165519424077077 | Original: -0.3466722742141284
Output: -0.14195451848872123 | Original: -0.28434581803283565
Output: 0.06936921080531246 | Original: -0.24694994432405998
Output: -0.37009064727976293 | Original: -0.20955407061528433
Output: 0.2011627070597286 | Original: -0.03503999330766461
Output: 0.5476189562840247 | Original: 0.1644046664724722
Output: 0.23950248298940802 | Original: 0.23919641389002352
Output: 0.6216224561517585 | Original: 0.6754816071590728
Output: 1.3365192120249816 | Original: 1.3735379163895516
Output: 3.340170571283584 | Original: 3.3056580580096275
Overall Mean-Squared Error for Fold 7: 0.08951344006974335

