Done Machine
CrossOver 0.25
Beta 0.0
popSize 80
Output: 0.7831565572244251 | Original: -0.5959780989392994
Output: 0.8822170089421562 | Original: -0.5585822252305238
Output: 0.7809776911086495 | Original: -0.5398842883761359
Output: 0.9052809958475618 | Original: -0.5211863515217481
Output: 0.7903688887698026 | Original: -0.496255769049231
Output: 0.875910051642667 | Original: -0.4713251865767139
Output: 0.7955953162283568 | Original: -0.4526272497223261
Output: 0.90867547901738 | Original: -0.427696667249809
Output: 0.8911218118402809 | Original: -0.40276608477729187
Output: 0.8434197974596703 | Original: -0.3529049198322577
Output: 0.8790384517024051 | Original: -0.32174169174161127
Output: 0.8121293868435269 | Original: -0.2656478811784478
Output: 0.7888005713762573 | Original: -0.2157867162334136
Output: 0.8887487057671498 | Original: -0.12229703196147447
Output: 0.900529423310773 | Original: 0.0646823365824038
Output: 0.9006302298167674 | Original: 0.2204984770356357
Output: 0.9166013776917485 | Original: 0.6380857334502972
Output: 0.9151759917182796 | Original: 1.068138281101217
Output: 0.9109574082553037 | Original: 2.3894591521446236
Overall Mean-Squared Error for Fold 4: 1.3557987462481178

