Done Abalone
CrossOver 0.75
mutation 0.25
variance 0.1
k 44
popSize 80
Output: -1.2882657144224754 | Original: -2.1507912663368667
Output: -1.109876576138679 | Original: -2.1507912663368667
Output: -0.6939462964991898 | Original: -1.8405966969186949
Output: -1.1765956098156927 | Original: -1.8405966969186949
Output: -1.3816276615812209 | Original: -1.8405966969186949
Output: -0.9450135984193528 | Original: -1.8405966969186949
Output: -1.3421246231617152 | Original: -1.8405966969186949
Output: -1.2296668179038908 | Original: -1.530402127500523
Output: -0.6592260815922077 | Original: -1.530402127500523
Output: -0.695878594632506 | Original: -1.530402127500523
Output: -0.7750794329410446 | Original: -1.530402127500523
Output: -0.5512368782024871 | Original: -1.530402127500523
Output: -0.9237485842136595 | Original: -1.530402127500523
Output: -0.9252024065383435 | Original: -1.530402127500523
Output: -1.0708385747665299 | Original: -1.530402127500523
Output: -0.8033393880280217 | Original: -1.530402127500523
Output: -0.9109282115557273 | Original: -1.530402127500523
Output: -0.8399058886579334 | Original: -1.2202075580823513
Output: -0.891220618449696 | Original: -1.2202075580823513
Output: -0.8781408955005031 | Original: -1.2202075580823513
Output: -0.5013762919992231 | Original: -1.2202075580823513
Output: -0.7072800225551796 | Original: -1.2202075580823513
Output: -0.207159771814597 | Original: -1.2202075580823513
Output: -0.5595466417573066 | Original: -1.2202075580823513
Output: -0.16449790348881427 | Original: -1.2202075580823513
Output: -0.4705738408317947 | Original: -1.2202075580823513
Output: -0.2291751487142471 | Original: -1.2202075580823513
Output: -0.39818618910150844 | Original: -1.2202075580823513
Output: -0.9193386373526142 | Original: -1.2202075580823513
Output: -0.6431281098831013 | Original: -1.2202075580823513
Output: -0.6586264703694376 | Original: -1.2202075580823513
Output: -0.5487122628309765 | Original: -1.2202075580823513
Output: -0.3153404224310395 | Original: -1.2202075580823513
Output: -0.5926085494952489 | Original: -1.2202075580823513
Output: -0.9728540967531152 | Original: -1.2202075580823513
Output: -0.734376745793854 | Original: -1.2202075580823513
Output: -0.4396762100098484 | Original: -1.2202075580823513
Output: -0.6932125191117724 | Original: -1.2202075580823513
Output: -0.9931057384015216 | Original: -1.2202075580823513
Output: 0.21365954120994662 | Original: -1.2202075580823513
Output: -0.3893598576788649 | Original: -1.2202075580823513
Output: -0.5384663874066364 | Original: -0.9100129886641795
Output: -0.7674201535014994 | Original: -0.9100129886641795
Output: -0.5624856606881425 | Original: -0.9100129886641795
Output: -0.7162521727648482 | Original: -0.9100129886641795
Output: -0.7232308849901886 | Original: -0.9100129886641795
Output: -0.5177702264179449 | Original: -0.9100129886641795
Output: -0.559505967690062 | Original: -0.9100129886641795
Output: -0.2999777597251153 | Original: -0.9100129886641795
Output: -0.09087786363430801 | Original: -0.9100129886641795
Output: -0.331547696365787 | Original: -0.9100129886641795
Output: 0.27092693989461203 | Original: -0.9100129886641795
Output: -0.5573359466489138 | Original: -0.9100129886641795
Output: -0.15750854468511466 | Original: -0.9100129886641795
Output: -0.6574052858374742 | Original: -0.9100129886641795
Output: -0.6530619700551737 | Original: -0.9100129886641795
Output: -0.05628128583908672 | Original: -0.9100129886641795
Output: -0.5550473628228313 | Original: -0.9100129886641795
Output: -0.8319914710797383 | Original: -0.9100129886641795
Output: -0.3437645439125448 | Original: -0.9100129886641795
Output: -0.478492130470723 | Original: -0.9100129886641795
Output: -0.1290677760633383 | Original: -0.9100129886641795
Output: -0.4217737800349584 | Original: -0.9100129886641795
Output: -0.32989160207295515 | Original: -0.9100129886641795
Output: -0.4510060367041286 | Original: -0.9100129886641795
Output: 0.35553699801957217 | Original: -0.9100129886641795
Output: -0.2729995673093765 | Original: -0.9100129886641795
Output: -0.6526320454918447 | Original: -0.9100129886641795
Output: -0.5294400277733056 | Original: -0.9100129886641795
Output: -0.8074826713849794 | Original: -0.9100129886641795
Output: -0.6155054439362865 | Original: -0.9100129886641795
Output: -0.31140832579957545 | Original: -0.9100129886641795
Output: 0.20976254163433733 | Original: -0.9100129886641795
Output: -0.7002713063920367 | Original: -0.9100129886641795
Output: -0.3217032038882847 | Original: -0.9100129886641795
Output: -0.6210215556016878 | Original: -0.9100129886641795
Output: -0.5097842850902194 | Original: -0.5998184192460075
Output: -0.6338434427846633 | Original: -0.5998184192460075
Output: -0.7879663203881284 | Original: -0.5998184192460075
Output: 0.018597348985420356 | Original: -0.5998184192460075
Output: -0.683968576495535 | Original: -0.5998184192460075
Output: 0.04434200465725692 | Original: -0.5998184192460075
Output: -0.21018144172954212 | Original: -0.5998184192460075
Output: 0.05374653452353864 | Original: -0.5998184192460075
Output: 0.3776088155801219 | Original: -0.5998184192460075
Output: -0.07801118933825284 | Original: -0.5998184192460075
Output: 0.18828719015567344 | Original: -0.5998184192460075
Output: 0.6652209158041604 | Original: -0.5998184192460075
Output: -0.502695740106453 | Original: -0.5998184192460075
Output: -0.2815016133419137 | Original: -0.5998184192460075
Output: 0.06986613677633541 | Original: -0.5998184192460075
Output: 0.03405478811718311 | Original: -0.5998184192460075
Output: 0.3451028123197915 | Original: -0.5998184192460075
Output: -0.19994411583632582 | Original: -0.5998184192460075
Output: -0.10439619167447751 | Original: -0.5998184192460075
Output: 0.05816391975087187 | Original: -0.5998184192460075
Output: 0.6493457017898651 | Original: -0.5998184192460075
Output: 0.23888961769290562 | Original: -0.5998184192460075
Output: -0.0633720602908626 | Original: -0.5998184192460075
