Done Machine
CrossOver 0.75
mutation 0.25
variance 0.1
k 16
popSize 84
Output: 0.8633788634047416 | Original: -0.6209086814118165
Output: 0.8468105154844346 | Original: -0.5772801620849116
Output: 0.8488966605756797 | Original: -0.5461169339942652
Output: 0.8110890728658826 | Original: -0.5211863515217481
Output: 0.8480661748643684 | Original: -0.5024884146673603
Output: 0.8168663691872574 | Original: -0.47755783219484316
Output: 0.855430263082977 | Original: -0.45885989534045535
Output: 0.8086317494658393 | Original: -0.43392931286793823
Output: 0.820070870002422 | Original: -0.4089987303954212
Output: 0.8888551409851194 | Original: -0.37783550230477475
Output: 0.8115932735127912 | Original: -0.3342069829778698
Output: 0.8024881795187057 | Original: -0.2718805267965771
Output: 0.7954408472061296 | Original: -0.22825200746967214
Output: 0.796865846702464 | Original: -0.17839084252463794
Output: 0.9049589040604207 | Original: 0.033519108491757425
Output: 0.8250475960307283 | Original: 0.20180054018124785
Output: 0.9065279201669595 | Original: 0.5196654667058409
Output: 0.894151592416559 | Original: 1.0182771161561828
Output: 0.9107262859692481 | Original: 1.8659169202217643
Overall Mean-Squared Error for Fold 1: 1.2910332726745717

