Done Machine
CrossOver 0.25
Beta 0.0
popSize 80
Output: 1.0274479560360446 | Original: -0.5835128077030408
Output: 1.0477557838495324 | Original: -0.5585822252305238
Output: 1.0629711315593644 | Original: -0.5336516427580067
Output: 1.0146379690804483 | Original: -0.5087210602854896
Output: 1.0045359335773767 | Original: -0.4900231234311017
Output: 1.0246783214962425 | Original: -0.45885989534045535
Output: 1.0133519682387733 | Original: -0.44016195848606754
Output: 1.0986516438315297 | Original: -0.4214640216316797
Output: 1.0360309549691622 | Original: -0.37783550230477475
Output: 1.0675106174247013 | Original: -0.3466722742141284
Output: 1.0144937791156832 | Original: -0.28434581803283565
Output: 1.0713869787367458 | Original: -0.24694994432405998
Output: 1.1219959127315415 | Original: -0.19708877937902577
Output: 1.1430124688684125 | Original: -0.03503999330766461
Output: 1.0663712788270439 | Original: 0.1644046664724722
Output: 1.1012571182124617 | Original: 0.41371049119764325
Output: 1.1007682560196652 | Original: 0.7128774808678484
Output: 1.1452152481205249 | Original: 1.629076386732852
Output: 1.1488168638313314 | Original: 5.044566185467695
Overall Mean-Squared Error for Fold 8: 2.4369904279634667

