Done Machine
CrossOver 0.75
mutation 0.25
variance 0.1
k 16
popSize 84
Output: -0.6372583691777225 | Original: -0.6209086814118165
Output: -0.020502956829896918 | Original: -0.5772801620849116
Output: -0.0705294197781913 | Original: -0.5461169339942652
Output: -0.6568485191879856 | Original: -0.5211863515217481
Output: -0.6733603037961008 | Original: -0.5024884146673603
Output: -0.6004928595477469 | Original: -0.47755783219484316
Output: -0.35604169207832437 | Original: -0.45885989534045535
Output: -0.6391808972561077 | Original: -0.43392931286793823
Output: -0.5719274416527862 | Original: -0.4089987303954212
Output: -0.3814871724453306 | Original: -0.37783550230477475
Output: -0.16896943255069827 | Original: -0.3342069829778698
Output: -0.4645281145523028 | Original: -0.2718805267965771
Output: -0.6518873078132992 | Original: -0.22825200746967214
Output: -0.5333096371345505 | Original: -0.17839084252463794
Output: 0.3481025267614454 | Original: 0.033519108491757425
Output: 0.172079457833444 | Original: 0.20180054018124785
Output: 0.9145875277131021 | Original: 0.5196654667058409
Output: 1.159862775168475 | Original: 1.0182771161561828
Output: 2.382417903539995 | Original: 1.8659169202217643
Overall Mean-Squared Error for Fold 1: 0.08373184332473894

