Done Machine
Particles 14	Inertia 1.0	CogBias 1.0	SocBias 1.0
Output: -0.5725997941775487 | Original: -0.5897454533211701
Output: -0.5303305112112784 | Original: -0.5585822252305238
Output: -0.20766472315405132 | Original: -0.5336516427580067
Output: -0.3111368028155633 | Original: -0.5087210602854896
Output: -0.8072003626401595 | Original: -0.4900231234311017
Output: -0.2259483287584616 | Original: -0.45885989534045535
Output: -0.5082789995887891 | Original: -0.4463946041041968
Output: 0.6514817052144745 | Original: -0.4214640216316797
Output: -0.486160156825234 | Original: -0.38406814792290406
Output: -0.42654268113631033 | Original: -0.3466722742141284
Output: -0.33274949848914853 | Original: -0.28434581803283565
Output: -0.03310209533154667 | Original: -0.24694994432405998
Output: -0.5635760927004314 | Original: -0.20955407061528433
Output: -0.1349079778472646 | Original: -0.03503999330766461
Output: -0.12044369798121368 | Original: 0.1644046664724722
Output: 0.32712258750422357 | Original: 0.23919641389002352
Output: 0.5470197027990567 | Original: 0.6754816071590728
Output: 1.141482939104543 | Original: 1.3735379163895516
Output: 2.4892665175028967 | Original: 3.3056580580096275
Overall Mean-Squared Error for Fold 7: 0.13064149276591522

