Done Machine
Particles 11	Inertia 1.0	CogBias 0.001	SocBias 1.0
Output: -0.4388965234573645 | Original: -0.5959780989392994
Output: -0.41526401029101784 | Original: -0.5585822252305238
Output: -0.21783350196235168 | Original: -0.5398842883761359
Output: -0.49750401346225553 | Original: -0.5211863515217481
Output: -0.47793222084904025 | Original: -0.496255769049231
Output: -0.474545199824799 | Original: -0.4713251865767139
Output: -0.36415231065482456 | Original: -0.4526272497223261
Output: -0.32868914291943635 | Original: -0.427696667249809
Output: -0.4641526809293783 | Original: -0.40276608477729187
Output: -0.30521484775231084 | Original: -0.3529049198322577
Output: -0.018203465933670886 | Original: -0.32174169174161127
Output: 0.22914192076415513 | Original: -0.2656478811784478
Output: -0.2676916954516431 | Original: -0.2157867162334136
Output: -0.18266037230445414 | Original: -0.12229703196147447
Output: 0.4041503327700087 | Original: 0.0646823365824038
Output: 0.70626755151887 | Original: 0.2204984770356357
Output: 1.0622695930362074 | Original: 0.6380857334502972
Output: 0.7566118118007649 | Original: 1.068138281101217
Output: 1.822188012096026 | Original: 2.3894591521446236
Overall Mean-Squared Error for Fold 4: 0.07719942040506104

