1,1,1
4,6,2
3,14,2
4,19,3
5,18,3
4,32,2
8,3,1
8,4,1
8,6,1
9,8,1
11,3,1
13,4,1
14,2,1
14,4,1
17,9,1
19,4,1
37,1,1
28,6,1
11,17,1
9,22,1
21,17,1
27,11,1
41,11,1
50,12,1
42,24,1
53,31,1
44,35,1
28,39,1
29,35,1
16,33,1
7,27,2
17,14,2
31,3,2
32,3,2
46,2,2
54,3,2
43,4,2
49,5,2
46,10,2
52,17,2
52,22,2
50,28,2
48,32,2
46,36,2
38,36,2
16,37,2
44,20,2
44,30,2
42,33,2
35,33,2
40,31,2
42,28,2
39,26,2
37,29,2
29,14,2
35,18,2
34,25,2
32,29,2
24,24,2
20,30,2
52,26,3
52,24,3
51,14,3
49,16,3
44,17,3
36,20,3
18,2,3
27,3,3
10,37,3
36,31,3
42,15,3
37,13,3
34,15,3
36,7,3
31,8,3
23,7,3
28,20,3
29,23,3
25,22,3
21,18,3
19,19,3
18,19,3
10,19,3
15,21,3
14,21,3
12,25,3
18,28,3
15,30,3
19,36,3
15,33,3
14,31,3
6,33,3
11,28,3
10,30,3
